,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,9.813427854296455e-198,0.5248217363611309,0.1941391339559469,fisher,fisher,0.9403857224893594,0.8121262841187804,0.7165098170239798,0.9403857224893594,0.16551241371343156,0.8968228802723915,0.6668055009384275,0.27061262479145,fisher,0.9403857224893594,fisher,fisher
asynchronous,,9.813427854296455e-198,0.004015781486273968,fisher,fisher,0.7765917394562348,0.36712900601132237,0.5665544193610696,0.7765917394562348,3.68376556259786e-05,0.6226909453716652,0.10233847582954701,0.00011374250029264731,fisher,0.7765917394562348,fisher,fisher
cause,,,9.813427854295336e-198,fisher,fisher,0.5623308334944199,0.0655614827073142,0.004904220122617401,0.5623308334944199,8.471623019779108e-19,0.3150708239194917,0.000851468415405356,2.928949958020734e-12,fisher,0.5623308334944199,fisher,fisher
condition,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
negative-condition,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
purpose,,,,,,9.813427854295896e-198,0.9155357583519905,0.8712792625660112,0.9733792046638606,0.5360478564675331,0.9538572387968022,0.8476537677609963,0.623018506105603,fisher,0.9733792046638606,fisher,fisher
concession,,,,,,,9.813427854295896e-198,0.6065669877599813,0.9155357583519905,0.04921921061788451,0.8540889389387878,0.5414787805265524,0.11820730336237988,fisher,0.9155357583519905,fisher,fisher
contrast,,,,,,,,9.813427854295896e-198,0.8712792625660112,0.011326137999628505,0.778738456137019,0.3509099696756771,0.01699081443838703,fisher,0.8712792625660112,fisher,fisher
similarity,,,,,,,,,9.813427854295896e-198,0.5360478564675331,0.9538572387968022,0.8476537677609963,0.04169689297744236,fisher,0.9733792046638606,fisher,fisher
conjunction,,,,,,,,,,9.813427854295896e-198,0.8260513646141585,0.01850889988006446,0.6491160796575284,fisher,0.5360478564675331,fisher,fisher
disjunction,,,,,,,,,,,9.813427854295896e-198,0.7390436570193195,0.39400057006233635,fisher,0.9538572387968022,fisher,fisher
instantiation,,,,,,,,,,,,9.813427854296455e-198,0.05481282155908266,fisher,0.8476537677609963,fisher,fisher
level-of-detail,,,,,,,,,,,,,9.813427854296455e-198,fisher,0.623018506105603,fisher,fisher
equivalence,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
manner,,,,,,,,,,,,,,,9.813427854295896e-198,fisher,fisher
exception,,,,,,,,,,,,,,,,fisher,fisher
substitution,,,,,,,,,,,,,,,,,fisher
