,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,7.491853096329675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,3.747692000759265,-1.265132039598319,NA,NA,NA,NA,-0.7758699552977482,NA,-2.2123099313088166,NA,NA,-3.703519111073064,NA,NA,NA,NA
cause,,,1.9936022288018496,NA,NA,NA,NA,NA,NA,-2.5069680846289346,NA,NA,-2.4576088830304794,NA,NA,NA,NA
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,9.813781191217037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,6.491853096329675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,5.290219235160024,NA,-2.6697826969080567,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,9.813781191217037,NA,NA,NA,2.362570079384708,NA,NA,NA,NA
conjunction,,,,,,,,,,1.8537792591489561,0.2688167584277998,-1.5612582401298876,-0.07386989662635984,NA,NA,NA,NA
disjunction,,,,,,,,,,,8.228818690495881,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,4.813781191217037,-1.6374299206152918,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,2.362570079384708,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,9.813781191217037,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
