,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
condition,,,,NA,NA,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA
negative-condition,,,,,NA,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA
purpose,,,,,,NA,0.0,0.0,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA
concession,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,NA,0.0,0.0,0.0,0.0,NA,0.0,NA,NA
conjunction,,,,,,,,,,1.0,0.0,0.0,0.011857707509881422,0.0,0.0,0.0,0.0
disjunction,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
level-of-detail,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
equivalence,,,,,,,,,,,,,,NA,0.0,NA,NA
manner,,,,,,,,,,,,,,,1.0,0.0,0.0
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
