,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous+++,0.9971119848411392,0.15667378197601792,0.0008729676777251197,0.04400526169766398,0.055986070802131506,0.0,0.0,0.0,0.0,0.0,0.0,0.030366531643064302,0.02988842340357162,0.035817211736460706,0.020699904915781234,0.005587164578885407,0.0,0.0,0.057227281452242464,0.03152574174098715,0.0601536034019656,0.0,0.0,0.0,0.0,0.0,0.0030541175608029556
precedence+++,0.15667378197601792,0.9993815145392098,0.018252690116641938,0.13976119478644097,0.03418101749536875,0.0,0.0,0.0,0.0,0.0,0.0,0.07566115527748672,0.03716312078371452,0.05925384531004333,0.046952956741244944,0.0899603423380314,0.0,0.0,0.10634541888404106,0.06667476515013093,0.2030121420130482,0.0,0.0,0.0,0.0,0.0,0.00023252595028441095
succession,0.0008729676777251197,0.018252690116641938,0.9913017548926794,0.00033918177622048863,0.0631743718692552,0.0,0.0,0.0,0.0,0.0,0.0,0.009324644966300722,0.02160561043925911,0.00768101705086648,0.011596447124739775,0.004278275800968496,0.0,0.0,0.01823264443544786,0.01499240837487607,0.03812657239457023,0.0,0.0,0.0,0.0,0.0,0.0
reason+++,0.04400526169766398,0.13976119478644097,0.00033918177622048863,0.9993226701519217,0.1475443835643657,0.0,0.0,0.0,0.0,0.0,0.0,9.970136081689904e-05,0.06844215174394082,0.029590377733181173,0.04145773903868238,0.10829886814802346,0.0,0.01077716524532341,0.024837190680945753,0.03071794821031185,0.07881026950985694,0.0,0.0,0.0,0.0,0.0,0.0
result+++,0.055986070802131506,0.03418101749536875,0.0631743718692552,0.1475443835643657,0.9996906948064496,0.0,0.0,0.0,0.0,0.0009616846335257319,0.0,0.0838277505270771,0.057583350194265415,0.09753557251918124,0.09001784942076813,0.18811900578377805,0.0,0.012881339855172555,0.1278094599173689,0.04979705965517437,0.23024397480020317,0.010155021448529986,0.0,0.0,0.0,0.0,0.04189432949680155
arg1-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499231124096569,0.0,0.0,0.0,0.0,0.007333199729957289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-goal,0.0,0.0,0.0,0.0,0.0009616846335257319,0.0,0.0,0.0,0.0,0.49992312423124224,0.0,0.0,0.0,0.0,0.0,0.0007735008864178252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
