,synchronous+++,precedence+++,succession,reason+++,result+++,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier+++,arg2-as-denier+++,contrast+++,similarity+++,conjunction+++,disjunction,arg1-as-instance,arg2-as-instance+++,arg1-as-detail+++,arg2-as-detail+++,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous+++,0.986598767086572,0.05386284773289423,0.013771524067767457,0.01884008205633095,0.017763948065292835,0.0,0.0,0.0,0.0,0.0,0.0,0.0204175127019901,0.0,0.01007648098440525,0.0,0.026946516064136956,0.0,0.026129684165742694,0.0665641242111856,0.0,0.08058851542812584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence+++,0.05386284773289423,0.9951581144621741,0.35444194331500334,0.16794325919542488,0.16817450915285004,0.0,0.0,0.0,0.0,0.0071100472159424345,0.0,0.057533403044121016,0.042113846758314206,0.06019330252337257,0.027740670005772888,0.2210875045111985,0.02849357505902825,0.06609168775736045,0.11191371750844872,0.026689766025172902,0.14440872396421944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,0.013771524067767457,0.35444194331500334,0.9883040935672515,0.07107932682903392,0.013041832994905463,0.0,0.0,0.0,0.0,0.0,0.0023199358518766473,0.024350102398578533,0.01310739619765662,0.017756098161882623,0.018574271946509756,0.1294041724126811,0.0,0.03028384596949101,0.05677749739576689,0.01126761060090066,0.11220929915870853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason+++,0.01884008205633095,0.16794325919542488,0.07107932682903392,0.9965563684226638,0.16406975751318678,0.0,0.042874718708725196,0.0,0.0,0.019022316167063062,0.10764402394800525,0.06206307605030544,0.03937710212642273,0.10921384341798329,0.05033226394488041,0.11266627694560302,0.018239060190774276,0.0,0.05036911490572548,0.07318647260343948,0.027718514986978113,0.005613676333051146,0.0,0.0,0.0,0.0,0.0,0.0
result+++,0.017763948065292835,0.16817450915285004,0.013041832994905463,0.16406975751318678,0.9972509178879719,0.0511121610165991,0.0,0.0,0.0,0.06964700314127313,0.009172895380135992,0.04144978463526552,0.023219780513754586,0.11544418895454772,0.05572248949063669,0.24610355718763727,0.0,0.033427712557153835,0.10704803366768277,0.018654168697266493,0.23742287548185906,0.003266047223839507,0.04922399744500975,0.0,0.0,0.0,0.0,0.0
arg1-as-cond,0.0,0.0,0.0,0.0,0.0511121610165991,0.8744419642857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036529387445850055,0.0,0.03227282770793611,0.0,0.0,0.04129968609431526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-cond,0.0,0.0,0.0,0.042874718708725196,0.0,0.0,0.8327759197324416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01657758810612902,0.0,0.0,0.010223260251369133,0.0,0.008044614770827723,0.0,0.0,0.11370577257108988,0.0,0.0,0.0,0.0
arg1-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-negcond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-goal,0.0,0.0071100472159424345,0.0,0.019022316167063062,0.06964700314127313,0.0,0.0,0.0,0.0,0.8994413407821229,0.0,0.0,0.0,0.0002754726757948309,0.0,0.0,0.0,0.0,0.0026425821129084496,0.0,0.049973400818056415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
