,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,0.9637213801999355,0.000704598282213184,0.06326629420664648,0.0,0.0,0.0,0.0,0.00652724506401651,0.0,0.029206901279179263,0.0,0.02013314314201949,0.07683680144183175,0.0,0.0,0.0,0.0
asynchronous+++,0.000704598282213184,0.9942745177871647,0.048518157308616694,0.0,0.0,0.0,0.04059947254453752,0.018151336802709375,0.006721009044336051,0.14594708378655047,0.002132864420129642,0.08245202824004366,0.18311362623191574,0.0,0.0,0.0,0.0
cause+++,0.06326629420664648,0.048518157308616694,0.9975470957613815,0.0,0.0,0.0,0.07021834702370355,0.1334921009086001,0.01664026193923843,0.33299778906018734,0.007329204082857993,0.11357512164018768,0.2584553627099039,0.0,0.0,0.0,0.0
condition,0.0,0.0,0.0,0.4994438264738598,0.0,0.0,0.0,0.0,0.0,0.00425887364121838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
negative-condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
purpose,0.0,0.0,0.0,0.0,0.0,0.8744419642857143,0.0,0.0,0.0,0.041986396387709096,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession+++,0.0,0.04059947254453752,0.07021834702370355,0.0,0.0,0.0,0.9744318181818182,0.16319888935329865,0.0,0.07953610486008812,0.0,0.0021748798343291117,0.06332115748381309,0.0,0.0,0.0,0.0
contrast+++,0.00652724506401651,0.018151336802709375,0.1334921009086001,0.0,0.0,0.0,0.16319888935329865,0.9875124875124874,0.014241394486189777,0.07264907134341442,0.018899331065585737,0.05497800451155546,0.11267439845039648,0.0,0.0,0.0,0.0
similarity+++,0.0,0.006721009044336051,0.01664026193923843,0.0,0.0,0.0,0.0,0.014241394486189777,0.9161073825503355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction+++,0.029206901279179263,0.14594708378655047,0.33299778906018734,0.00425887364121838,0.0,0.041986396387709096,0.07953610486008812,0.07264907134341442,0.0,0.9977415420750712,0.0,0.05404702951360675,0.011051711026962733,0.0,0.0,0.0,0.0
disjunction,0.0,0.002132864420129642,0.007329204082857993,0.0,0.0,0.0,0.0,0.018899331065585737,0.0,0.0,0.8994413407821229,0.0,0.0353962321184955,0.0,0.0,0.0,0.0
instantiation+++,0.02013314314201949,0.08245202824004366,0.11357512164018768,0.0,0.0,0.0,0.0021748798343291117,0.05497800451155546,0.0,0.05404702951360675,0.0,0.9923546101700675,0.0644352170434732,0.0,0.0,0.0,0.0
level-of-detail+++,0.07683680144183175,0.18311362623191574,0.2584553627099039,0.0,0.0,0.0,0.06332115748381309,0.11267439845039648,0.0,0.011051711026962733,0.0353962321184955,0.0644352170434732,0.9974515655882069,0.0,0.0,0.0,0.0
equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994438264738598,0.0,0.0
exception,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
substitution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
