,synchronous+++,asynchronous+++,cause+++,condition,negative-condition,purpose,concession+++,contrast+++,similarity+++,conjunction+++,disjunction,instantiation+++,level-of-detail+++,equivalence,manner,exception,substitution
synchronous+++,1.0,0.182632629826913,-0.16289195399548412,0.06035194885117673,0.0510382728369256,0.045636036734268526,-0.11317606257752534,-0.10017196245163601,-0.08756044714240714,-0.060148955301640925,0.04176627941326521,-0.1918217098481625,-0.17094803797952798,-0.04540227313135355,0.0207463808001354,0.053589557263299656,-0.033195245244356124
asynchronous+++,0.182632629826913,1.0,-0.06616853782521101,-0.07574057635830912,-0.07812605201540566,-0.05639938892066234,-0.10744597447254316,-0.14245435997729786,-0.11449564989959195,-0.11039897760076044,-0.08158903410118391,-0.20991327073525382,-0.296894875862524,-0.09944011915834408,-0.0747426153358892,-0.07551644434334079,-0.08835769833593639
cause+++,-0.16289195399548412,-0.06616853782521101,1.0,-0.06947634377776651,-0.06411382864913959,-0.060386539371087344,-0.06965988590260226,-0.1562165118653476,-0.12752600948750645,-0.2282247871882279,-0.06939866248568795,-0.1069241085699478,-0.1035469837811165,-0.0010354004014610201,-0.040317213644491944,-0.07929550507745856,-0.03588668648585766
condition,0.06035194885117673,-0.07574057635830912,-0.06947634377776651,1.0,0.7557991870195495,0.6470751566813547,-0.19118091752488478,-0.11312450394164547,-0.022980238445547307,-0.13059056671708263,0.6346154622287633,-0.1744578848875229,-0.16714350541429873,0.20924535104858139,0.526829569050959,0.699735402105073,0.11055651065075939
negative-condition,0.0510382728369256,-0.07812605201540566,-0.06411382864913959,0.7557991870195495,1.0,0.6706267886077824,-0.20396303906261656,-0.11289990391937788,-0.020500727034878687,-0.1225683640665602,0.6806247902996856,-0.19038226039322953,-0.17512092487237912,0.21851518057940914,0.5463658263661503,0.7515848504220913,0.11675141594652319
purpose,0.045636036734268526,-0.05639938892066234,-0.060386539371087344,0.6470751566813547,0.6706267886077824,1.0,-0.19232230234028277,-0.10920699411578375,-0.036094264086037324,-0.10462057438154991,0.5622374384909625,-0.1729723110400911,-0.14467210910548373,0.1806424655801077,0.48310832484830235,0.6204684435579947,0.09164091628433839
concession+++,-0.11317606257752534,-0.10744597447254316,-0.06965988590260226,-0.19118091752488478,-0.20396303906261656,-0.19232230234028277,1.0,0.1115039704745388,-0.15525333876653258,-0.1286828093503286,-0.19177251769293768,-0.19545297888132437,-0.1800599684038974,-0.13107491082099182,-0.17578811397004226,-0.187003230568081,-0.03419714392493514
contrast+++,-0.10017196245163601,-0.14245435997729786,-0.1562165118653476,-0.11312450394164547,-0.11289990391937788,-0.10920699411578375,0.1115039704745388,1.0,-0.07257886881000561,-0.13688442154260017,-0.08186915764784287,-0.12504366260747288,-0.13079957711595463,-0.07172700919623602,-0.11847148298574076,-0.09463574161490437,0.040410064270667165
similarity+++,-0.08756044714240714,-0.11449564989959195,-0.12752600948750645,-0.022980238445547307,-0.020500727034878687,-0.036094264086037324,-0.15525333876653258,-0.07257886881000561,1.0,0.06698396325586212,0.0006550105104433213,-0.027321081572884834,-0.12280694383779919,-0.026784744085437753,-0.026054148841350905,-0.033112112411939565,-0.07531253189264271
conjunction+++,-0.060148955301640925,-0.11039897760076044,-0.2282247871882279,-0.13059056671708263,-0.1225683640665602,-0.10462057438154991,-0.1286828093503286,-0.13688442154260017,0.06698396325586212,1.0,-0.11016014897683929,-0.0982315593385454,-0.0676578846260404,-0.09543230419799124,-0.10415683611375211,-0.11957170913703809,-0.141964167266894
