,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,NA,NA,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,NA,0.1167145250059823,0.324812030075188,NA,0.15815781032823692,0.0,NA,0.2769224314340258,NA,0.0,NA,0.0,NA
succession,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,NA,0.06612990423231387,NA,0.12677499634021372,NA,NA,0.0803941908713693,NA,NA,NA,0.45545382332037293,NA
result,,,,,NA,0.1522808620820958,0.0901952776952777,0.07720107171786404,0.14952352590827875,0.16392105900189835,NA,0.05991360167951875,3.4710344827586206,0.06979573037170943,NA
arg1-as-denier,,,,,,NA,NA,NA,NA,0.0,NA,NA,NA,0.0,NA
arg2-as-denier,,,,,,,NA,NA,NA,0.10980064946779722,NA,0.0,NA,0.03550594026784503,NA
contrast,,,,,,,,NA,NA,0.159546447385327,NA,NA,NA,0.0,NA
similarity,,,,,,,,,NA,4.140880662075936,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,0.09158945792834271,0.0,0.30027900488258547,NA
disjunction,,,,,,,,,,,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,NA,NA,0.5574588083149727,NA
arg1-as-detail,,,,,,,,,,,,,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,NA,NA
arg2-as-subst,,,,,,,,,,,,,,,NA
