,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,1.0,0.08269736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799804262722923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,1.0,0.0,0.0064370078740157485,0.057320328542094456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007763157894736842,0.0,0.0,0.04942493112947659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,1.0,0.011553676426996933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046000828843762945,0.0,0.0,0.013877139324526583,0.0,0.0,0.02095363079615048,0.0,0.041252160553101595,0.0,0.0,0.0,0.0,0.0,0.0
result,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021961058441463874,0.014869051478799668,0.011795573807894137,0.021175564681724844,0.057673053099597804,0.0,0.0,0.01025781428245494,0.25376454483230665,0.018087761473097277,0.0,0.0,0.0,0.0,0.0,0.07177080277696293
arg1-as-cond,,,,,,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg2-as-cond,,,,,,,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg2-as-negcond,,,,,,,,,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg1-as-goal,,,,,,,,,,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg2-as-goal,,,,,,,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg1-as-denier,,,,,,,,,,,,1.0,0.013269876819708846,0.01619385342789598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,,,,,,,1.0,0.02456140350877193,0.0,0.017855589386689866,0.0,0.0,0.0,0.0,0.0032413350449293967,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,,,,,,,1.0,0.0,0.023599632690541782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,,,,,,,1.0,0.27530991735537186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.015399449035812673,0.0,0.06869582745414231,0.0,0.0,0.0,0.0,0.0,0.0
disjunction,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,0.0,0.0,0.0,NA,NA,NA,NA,NA,0.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,1.0,0.0,0.048143631436314366,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,1.0,0.023337028824833704,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0720383275261324
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,0.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,0.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,0.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,0.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,0.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
