,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,1.0,0.007211538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020435967302452314,0.0,0.0,0.0,0.0,0.0
precedence,,1.0,0.0,0.003067484662576687,0.019726027397260273,0.0,0.003401360544217687,0.0,0.0,0.017023613399231193,0.0,0.0,0.0,0.0,0.0
succession,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,1.0,0.0029239766081871343,0.0,0.002257336343115124,0.0,0.0,0.0035294117647058825,0.0,0.010548523206751054,0.0,0.015122873345935728,0.0
result,,,,,1.0,0.0013280212483399733,0.003037667071688943,0.0012911555842479018,0.0006738544474393531,0.029692470837751856,0.0,0.0023781212841854932,0.007472826086956522,0.008399646330680813,0.0006816632583503749
arg1-as-denier,,,,,,1.0,0.00423728813559322,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,1.0,0.010830324909747292,0.0,0.003667481662591687,0.0,0.0,0.0,0.0009910802775024777,0.0
contrast,,,,,,,,1.0,0.0,0.002600780234070221,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,1.0,0.00888585099111415,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,1.0,0.0,0.003590664272890485,0.0,0.03272727272727273,0.0
disjunction,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
arg2-as-instance,,,,,,,,,,,,1.0,0.0,0.016536964980544747,0.0
arg1-as-detail,,,,,,,,,,,,,1.0,0.0011890606420927466,0.0
arg2-as-detail,,,,,,,,,,,,,,1.0,0.0012106537530266344
arg2-as-subst,,,,,,,,,,,,,,,1.0
