,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst
synchronous,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
precedence,,0.0,fisher,0.01195703268800216,4.306805500978178e-12,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,5.21476462962416e-10,fisher,fisher,0.014749254253694817,fisher,1.758509648145639e-06,fisher,fisher,fisher,fisher,fisher,fisher
succession,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
reason,,,,fisher,3.552853904392969e-07,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,2.252427505451857e-06,fisher,fisher,fisher,fisher,0.0008118640280899276,fisher,fisher,fisher,fisher,fisher,fisher
result,,,,,0.0,fisher,fisher,fisher,fisher,fisher,fisher,fisher,0.00017862732168801384,0.0014636916697092388,fisher,8.697568613297376e-41,fisher,fisher,7.824865737446138e-07,fisher,3.607548497894654e-22,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-cond,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-cond,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-negcond,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-negcond,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-goal,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-goal,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-denier,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-denier,,,,,,,,,,,,,fisher,fisher,fisher,6.357071108321609e-05,fisher,fisher,fisher,fisher,0.004630346039856647,fisher,fisher,fisher,fisher,fisher,fisher
contrast,,,,,,,,,,,,,,fisher,fisher,0.003121788690101572,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
similarity,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,,,,,,,0.0,fisher,fisher,4.632055725999438e-05,fisher,8.42854963911048e-19,fisher,fisher,fisher,fisher,fisher,fisher
disjunction,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-instance,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-instance,,,,,,,,,,,,,,,,,,,fisher,fisher,0.010139539041252152,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-detail,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,0.0,fisher,fisher,fisher,fisher,fisher,fisher
equivalence,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher,fisher
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,fisher,fisher
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,fisher
