,synchronous,precedence,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,10.345405246717796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,4.55359117555597,NA,-4.417952378394802,NA,-2.090265014218755,NA,NA,-3.650979968693234,NA,NA,NA,NA
reason,,,5.54839226888165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
result,,,,2.6957897876543857,NA,-2.9480664021203387,NA,NA,-5.508781356594818,NA,0.11082728693322992,NA,NA
arg1-as-denier,,,,,8.667333341605158,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,6.023477151830433,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,6.885973628080498,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,9.497408340162846,0.7078746951924857,NA,NA,NA,NA
conjunction,,,,,,,,,2.877799696634798,-3.1556233049026523,NA,-6.017018066673145,NA
arg2-as-instance,,,,,,,,,,5.6339103400677075,NA,-2.260907423240236,NA
arg1-as-detail,,,,,,,,,,,10.082370840884002,NA,NA
arg2-as-detail,,,,,,,,,,,,3.772515578297214,NA
arg2-as-subst,,,,,,,,,,,,,11.667333341605158
