,synchronous,precedence,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,1.0,0.0,0.001563721657544957,0.0,0.0026595744680851063,0.0,0.0,0.0025884383088869713,0.0,0.0,0.0,0.0
reason,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result,,,,1.0,0.0,0.0018148820326678765,0.0,0.0,0.0015906680805938495,0.0,0.0009910802775024777,0.0,0.0
arg1-as-denier,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,1.0,0.002242152466367713,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,1.0,0.0019723865877712033,0.0,0.0007352941176470588,0.0
arg2-as-instance,,,,,,,,,,1.0,0.0,0.003305785123966942,0.0
arg1-as-detail,,,,,,,,,,,1.0,0.0,0.0
arg2-as-detail,,,,,,,,,,,,1.0,0.0
arg2-as-subst,,,,,,,,,,,,,1.0
