,synchronous,precedence,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,NA,-0.926909602030755,NA,-0.6335754640839386,NA,NA,-0.8755325836418244,NA,NA,NA,NA
reason,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
result,,,,NA,NA,-0.8017284086530523,NA,NA,-0.9690946864137726,NA,0.04576158310341547,NA,NA
arg1-as-denier,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,NA,0.2898259320962831,NA,NA,NA,NA
conjunction,,,,,,,,,NA,-0.824131829064209,NA,-0.9757907986213225,NA
arg2-as-instance,,,,,,,,,,NA,NA,-0.6764730074301538,NA
arg1-as-detail,,,,,,,,,,,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,NA,NA
arg2-as-subst,,,,,,,,,,,,,NA
