,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,1.0,0.11483870967741935,0.12358007213402097,0.0,0.0,0.0,0.0,0.0,0.0,0.19046869974970987,0.0,0.0,0.033426971588016816,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.17358304530718321,0.0,0.0,0.0,0.03513499745287825,0.007220279720279721,0.0,0.13902070621186355,0.0,0.010143383065297423,0.0275978959672706,0.0,0.0,0.0,0.036483516483516484
cause,,,1.0,0.0,0.0,0.5001741553465692,0.1342639687581455,0.08442180424939046,0.044969087425983975,0.2341413326122532,0.0,0.11755529761262411,0.23645573207233056,0.0,0.0,0.0,0.17944220530427427
condition,,,,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
negative-condition,,,,,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0
purpose,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession,,,,,,,1.0,0.12106788079470199,0.007077814569536424,0.10027644054805845,0.0,0.012523562480190835,0.0638423562379771,0.0,0.0,0.0,0.0
contrast,,,,,,,,1.0,0.00909090909090909,0.07644101942704024,0.0,0.004100354934737807,0.03759763030657244,0.0,0.0,0.0,0.0385551948051948
similarity,,,,,,,,,1.0,0.3880039011703511,0.0,0.022528337531486146,0.026168907071887786,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,1.0,0.5002167316861725,0.09004682933007527,0.21936109373626428,0.0,0.0,0.0,0.0
disjunction,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
instantiation,,,,,,,,,,,,1.0,0.2141308204284913,0.0,0.0,0.0,0.0
level-of-detail,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.10801953744677298
equivalence,,,,,,,,,,,,,,NA,NA,NA,0.0
manner,,,,,,,,,,,,,,,NA,NA,0.0
exception,,,,,,,,,,,,,,,,NA,0.0
substitution,,,,,,,,,,,,,,,,,1.0
