,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
synchronous,1.596660738590613e-151,chi2,chi2,1.0,chi2,0.41630193557633455,1.0,chi2,1.0,0.031971966130801326,chi2,1.0
asynchronous,,chi2,chi2,1.0,chi2,chi2,chi2,chi2,1.0,chi2,chi2,1.0
cause,,,chi2,0.4413528055342045,chi2,chi2,chi2,chi2,1.0,chi2,chi2,chi2
purpose,,,,0.00015372790161414298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
concession,,,,,chi2,chi2,chi2,chi2,1.0,chi2,chi2,0.6335026796716141
contrast,,,,,,0.0,0.7261478593624549,chi2,1.0,chi2,chi2,0.3191366765354569
similarity,,,,,,,1.0157341218452664e-186,chi2,1.0,0.48616065360338745,chi2,1.0
conjunction,,,,,,,,chi2,0.3546502690238279,chi2,chi2,0.003398102161059349
disjunction,,,,,,,,,0.00015372790161414298,1.0,1.0,1.0
instantiation,,,,,,,,,,chi2,chi2,1.0
level-of-detail,,,,,,,,,,,chi2,1.0
substitution,,,,,,,,,,,,3.6393665243496706e-43
