,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,NA,NA,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,NA,0.24152450299086956,NA,NA,NA,0.07677566336102921,0.0,NA,0.27712379540400295,NA,0.0,0.0,NA,NA,NA,NA
cause,,,NA,NA,NA,NA,0.14501288185498712,0.10105122719849102,0.0956736446591519,0.14727357770223887,NA,0.1268391400596583,0.21868246396646604,NA,NA,NA,NA
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,NA,NA,NA,0.12028340423688941,NA,0.07070646647125681,0.07016905171186756,NA,NA,NA,NA
contrast,,,,,,,,NA,NA,0.159546447385327,NA,NA,0.0,NA,NA,NA,NA
similarity,,,,,,,,,NA,4.140880662075936,NA,NA,0.0,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,0.08945243034973326,0.2863988332928227,NA,NA,NA,NA
disjunction,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,NA,0.5041792042795051,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,NA,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
