,synchronous,asynchronous,cause,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
synchronous,NA,0.4717255297679112,NA,NA,NA,NA,-0.21081081081081082,NA,NA,NA,NA
asynchronous,,NA,-0.6109226963961971,-0.8573971051288752,NA,NA,-0.5660188990271877,NA,NA,NA,NA
cause,,,NA,-0.7467052394728383,-0.8164459115029458,-0.8253610550449727,-0.7432633670563588,NA,-0.774876225806386,-0.6411165821575595,-0.46182999458581486
concession,,,,NA,-0.006808301205807563,NA,-0.7852625437777977,NA,-0.8679255824347729,-0.8688636125299578,NA
contrast,,,,,NA,NA,-0.7248123216709604,NA,NA,NA,NA
similarity,,,,,,NA,0.6109615975422427,NA,NA,NA,NA
conjunction,,,,,,,NA,NA,-0.8357846054443745,-0.5547277782276567,NA
disjunction,,,,,,,,NA,NA,NA,NA
instantiation,,,,,,,,,NA,-0.32962880640142256,NA
level-of-detail,,,,,,,,,,NA,-0.053031611677319054
substitution,,,,,,,,,,,NA
