,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
asynchronous,,0.0,3.3815977598718624e-17,fisher,fisher,fisher,0.005790112945168094,fisher,fisher,3.682756186883654e-10,fisher,0.01294177545902332,9.750636644880676e-08,fisher,fisher,fisher,fisher
cause,,,0.0,fisher,fisher,fisher,4.786858166500888e-13,0.0001136727538514106,fisher,1.2818503584084929e-58,fisher,1.3503240105646401e-09,8.072130402209949e-33,fisher,fisher,fisher,fisher
condition,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
negative-condition,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
purpose,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
concession,,,,,,,0.0,fisher,fisher,6.535514725188247e-09,fisher,fisher,5.394560885754075e-06,fisher,fisher,fisher,fisher
contrast,,,,,,,,fisher,fisher,0.003121788690101572,fisher,fisher,fisher,fisher,fisher,fisher,fisher
similarity,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,0.0,fisher,3.588915090210332e-05,8.421512972938608e-23,fisher,fisher,fisher,fisher
disjunction,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher
instantiation,,,,,,,,,,,,fisher,0.002499886191045635,fisher,fisher,fisher,fisher
level-of-detail,,,,,,,,,,,,,0.0,fisher,fisher,fisher,fisher
equivalence,,,,,,,,,,,,,,fisher,fisher,fisher,fisher
manner,,,,,,,,,,,,,,,fisher,fisher,fisher
exception,,,,,,,,,,,,,,,,fisher,fisher
substitution,,,,,,,,,,,,,,,,,fisher
