,synchronous,asynchronous,cause,concession,contrast,similarity,conjunction,instantiation,level-of-detail,substitution
synchronous,10.345405246717796,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,4.532907021384231,-4.309443322029576,-3.1605799361150932,NA,NA,-3.6716641228649722,NA,NA,NA
cause,,,2.240020497470194,-4.453466460029131,NA,NA,-5.227585052612803,NA,-3.602958334318132,NA
concession,,,,4.9738463841058325,-0.807513329418827,NA,NA,NA,NA,NA
contrast,,,,,6.885973628080498,NA,NA,NA,NA,NA
similarity,,,,,,9.497408340162846,0.7078746951924857,NA,NA,NA
conjunction,,,,,,,2.877799696634798,-3.188289493822974,-6.287107230040889,NA
instantiation,,,,,,,,5.601244151147386,-2.5636627755283024,NA
level-of-detail,,,,,,,,,3.5024264149294697,NA
substitution,,,,,,,,,,11.667333341605158
