,synchronous,asynchronous,cause,concession,contrast,similarity,conjunction,instantiation,level-of-detail,substitution
synchronous,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.0018126888217522659,0.002053388090349076,0.0,0.0,0.0025795356835769563,0.0,0.0,0.0
cause,,,1.0,0.0012642225031605564,0.0,0.0,0.002215330084182543,0.0,0.005151983513652756,0.0
concession,,,,1.0,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0
contrast,,,,,1.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,1.0,0.002242152466367713,0.0,0.0,0.0
conjunction,,,,,,,1.0,0.0019665683382497543,0.0006858710562414266,0.0
instantiation,,,,,,,,1.0,0.0028328611898017,0.0
level-of-detail,,,,,,,,,1.0,0.0
substitution,,,,,,,,,,1.0
