,synchronous,precedence,succession,reason,result,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA
precedence,,NA,23.11875,0.08182870370370371,NA,NA,NA,NA,NA,NA,NA,0.23028269007357688,NA,NA,0.0,NA,0.17466986794717887,NA
succession,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21099744245524296,NA,NA,NA,NA,NA,NA
reason,,,,NA,0.06302521008403361,NA,NA,NA,NA,0.15,NA,0.3072422199913954,NA,NA,NA,NA,NA,NA
result,,,,,NA,NA,NA,NA,NA,0.1024390243902439,NA,0.18571428571428572,NA,NA,0.0,NA,0.19435771632471008,NA
arg1-as-goal,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,NA,NA,9.351648351648352,NA,0.141156462585034,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,NA,NA,0.4421550413781456,NA,NA,NA,NA,0.05965324713488099,NA
similarity,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,NA,NA,0.141156462585034,NA,NA,NA,NA
disjunction,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,NA,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,NA
