,synchronous,precedence,succession,reason,result,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,0.25106814715839443,fisher,fisher,fisher,fisher,fisher,fisher
precedence,,9.813427854297013e-198,fisher,0.0016056307092942599,0.26569741528329943,fisher,fisher,fisher,fisher,fisher,fisher,9.920999546968125e-07,fisher,fisher,fisher,fisher,3.1177058493113046e-05,fisher
succession,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,0.025485318243180233,fisher,fisher,fisher,fisher,fisher,fisher
reason,,,,9.813427854296455e-198,3.0732598644823674e-07,fisher,fisher,fisher,fisher,0.031345355090862254,fisher,1.2416210335343387e-07,fisher,fisher,0.3286773474109179,fisher,0.06029881045615812,fisher
result,,,,,9.813427854296455e-198,fisher,fisher,fisher,fisher,0.0059768250245818815,fisher,7.918651262635656e-16,fisher,fisher,0.00027282556660656546,fisher,7.203396924374141e-10,fisher
arg1-as-goal,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-goal,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-denier,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
arg2-as-denier,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
contrast,,,,,,,,,,fisher,fisher,0.01934629006151772,fisher,fisher,fisher,fisher,0.00016751922576009262,fisher
similarity,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,,,9.813427854296455e-198,fisher,fisher,0.5715076143029271,fisher,0.9004903754734062,fisher
disjunction,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher,fisher
arg1-as-instance,,,,,,,,,,,,,,fisher,fisher,fisher,fisher,fisher
arg2-as-instance,,,,,,,,,,,,,,,fisher,fisher,0.6913727141826673,fisher
arg1-as-detail,,,,,,,,,,,,,,,,fisher,fisher,fisher
arg2-as-detail,,,,,,,,,,,,,,,,,9.813427854296455e-198,fisher
arg2-as-manner,,,,,,,,,,,,,,,,,,fisher
