,synchronous,precedence,succession,reason,result,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,1.0,0.0,0.0,0.0,0.0387263339070568,0.0,0.0,0.0,0.0,0.0,0.0,0.14794620138131587,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,1.0,0.3830724070450098,0.010981546473451828,0.167643175441492,0.0,0.0,0.0,0.0,0.018754076973255054,0.0,0.09745895639443689,0.0,0.0,0.0,0.0,0.04424657534246575,0.0
succession,,,1.0,0.0,0.0387263339070568,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.07397310069065793,0.0,0.0,0.044805194805194806,0.0,0.037714285714285714,0.0
reason,,,,1.0,0.014288559195459525,0.0,0.0,0.0,0.0,0.016036993309720582,0.087465564738292,0.1405168969360503,0.0,0.0,0.06611570247933884,0.0,0.15330578512396695,0.0
result,,,,,1.0,0.5030120481927711,0.0,0.05301204819277109,0.10301204819277109,0.014916810097532988,0.0,0.11139213341917287,0.10301204819277109,0.10602409638554218,0.0,0.04846659364731654,0.07016867469879517,0.0
arg1-as-goal,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-goal,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16866666666666666,0.0
arg1-as-denier,,,,,,,,1.0,0.15000000000000002,0.18571428571428572,0.0,0.05127226463104326,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10200000000000001,0.0
contrast,,,,,,,,,,1.0,0.09523809523809523,0.1449472918938568,0.11190476190476191,0.0,0.0,0.0,0.013904761904761904,0.0
similarity,,,,,,,,,,,1.0,0.2538167938931298,0.0,0.0,0.0,0.0,0.08533333333333333,0.0
conjunction,,,,,,,,,,,,1.0,0.20254452926208652,0.05127226463104326,0.22798982188295167,0.23363405042794355,0.3599491094147583,0.0
disjunction,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,,,,,,,,,,,,,,1.0,0.0,0.0,0.052000000000000005,0.0
arg2-as-instance,,,,,,,,,,,,,,,1.0,0.0,0.15527272727272726,0.0
arg1-as-detail,,,,,,,,,,,,,,,,1.0,0.09490909090909092,0.0
arg2-as-detail,,,,,,,,,,,,,,,,,1.0,0.0
arg2-as-manner,,,,,,,,,,,,,,,,,,1.0
