,synchronous,precedence,succession,reason,result,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,4.218387164569786e-31,0.6192925378027387,1.0,0.23666876847085677,0.4860822235520754,1.0,1.0,1.0,1.0,1.0,1.0,chi2,1.0,1.0,1.0,1.0,0.014530901651511436,1.0
precedence,,chi2,1.3564290538828916e-07,chi2,chi2,1.0,1.0,1.0,1.0,0.245178941344516,1.0,chi2,1.0,1.0,0.017938527433564905,1.0,chi2,1.0
succession,,,4.218387164569786e-31,0.23666876847085677,0.4860822235520754,1.0,1.0,1.0,1.0,0.49036988749607024,1.0,chi2,1.0,1.0,0.5891240160858642,1.0,0.12880994323087644,1.0
reason,,,,chi2,chi2,1.0,1.0,0.3742602386426852,1.0,chi2,0.580588405673243,chi2,1.0,0.3742602386426852,chi2,0.37688431379958687,chi2,1.0
result,,,,,chi2,0.18444444444444444,1.0,0.6986191487191664,1.0,chi2,0.5994943332828867,chi2,1.0,1.0,chi2,0.6995221625057755,chi2,1.0
arg1-as-goal,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-goal,,,,,,,8.257958814256208e-09,1.0,1.0,1.0,1.0,0.26121245828698547,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,1.0942825427590497e-23,0.05445307943960932,0.009029078347844378,1.0,0.04931193345399593,1.0,1.0,1.0,1.0,0.07000350400710814,1.0
arg2-as-denier,,,,,,,,,2.054954713692519e-13,1.0,1.0,0.07189226171453392,1.0,1.0,1.0,1.0,1.0,1.0
contrast,,,,,,,,,,3.1010251726862024e-73,0.24991088158852057,chi2,0.21297800588713472,1.0,0.10366376432260657,1.0,chi2,1.0
similarity,,,,,,,,,,,1.3776232717491747e-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,,,chi2,1.0,0.04931193345399593,chi2,1.0,chi2,1.0
disjunction,,,,,,,,,,,,,2.054954713692519e-13,1.0,1.0,1.0,0.33000807499501705,1.0
arg1-as-instance,,,,,,,,,,,,,,1.0942825427590497e-23,1.0,1.0,0.2991433735651331,1.0
arg2-as-instance,,,,,,,,,,,,,,,2.2482650021049536e-89,1.0,chi2,1.0
arg1-as-detail,,,,,,,,,,,,,,,,1.3524840416123083e-25,0.7366230129904039,1.0
arg2-as-detail,,,,,,,,,,,,,,,,,chi2,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,0.0011111111111111111
