,synchronous,precedence,succession,reason,result,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,6.006426269159433,NA,NA,NA,-1.3686131621874915,NA,NA,NA,NA,NA,NA,-0.6119592330991734,NA,NA,NA,NA,NA,NA
precedence,,3.62395663233702,2.9865267117217282,-3.294906604937575,0.3363800422404346,NA,NA,NA,NA,-1.7683607904417404,NA,-1.4094663692004301,NA,NA,NA,NA,-2.019899557437705,NA
succession,,,6.006426269159433,NA,-1.3686131621874915,NA,NA,NA,NA,0.6141088463806725,NA,-1.6119592330991734,NA,NA,0.22506655563477354,NA,-1.9593580155026542,NA
reason,,,,2.8949179539424423,-3.480121477404482,NA,NA,NA,NA,-2.497399468836318,0.3099554532212862,-1.023027830175072,NA,NA,-0.5645136646948548,NA,-0.42701014094491985,NA
result,,,,,2.4387417598701124,2.4387417598701124,NA,-0.8831863350172501,0.11681366498274987,-2.953575662908648,NA,-1.479204024247402,0.11681366498274987,0.11681366498274987,NA,-1.0206898587671849,-1.7196876027343706,NA
arg1-as-goal,,,,,,9.813781191217037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,8.228818690495881,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2630344058337935,NA
arg1-as-denier,,,,,,,,6.491853096329675,4.169925001442312,2.6844981742720706,NA,-2.126532405928932,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,7.491853096329675,NA,NA,NA,NA,NA,NA,NA,-0.4739311883324124,NA
contrast,,,,,,,,,,4.421463768438277,1.8365012677171204,-0.7374901151830325,2.0995356735509145,NA,NA,NA,-3.5443205162238103,NA
similarity,,,,,,,,,,,7.22881869049588,0.19539568895843049,NA,NA,NA,NA,-0.7369655941662064,NA
conjunction,,,,,,,,,,,,1.1953956889584307,-0.1265324059289318,-2.126532405928932,-0.1265324059289316,0.05789216520849569,0.010971117821003018,NA
disjunction,,,,,,,,,,,,,7.491853096329675,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,6.491853096329675,NA,NA,-1.4739311883324124,NA
arg2-as-instance,,,,,,,,,,,,,,,4.0324214776923775,NA,-0.12600788491210546,NA
arg1-as-detail,,,,,,,,,,,,,,,,6.35434957257974,-0.6114347120823475,NA
arg2-as-detail,,,,,,,,,,,,,,,,,1.84799690655495,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,9.813781191217037
