,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,NA,NA,NA,NA,-0.49685973482205165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32357944879210615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,0.9170769629437678,-0.8487215149245747,0.16014091595369903,NA,NA,NA,NA,NA,NA,NA,NA,-0.579454253611557,NA,-0.6256426398069458,NA,NA,NA,NA,-0.7026060296371998,NA,NA,NA,NA,NA,NA,NA
succession,,,NA,NA,-0.49685973482205165,NA,NA,NA,NA,NA,NA,NA,NA,0.22641509433962265,NA,-0.6515311510031679,NA,NA,0.0847457627118644,NA,-0.6711409395973155,NA,NA,NA,NA,NA,NA,NA
reason,,,,NA,-0.8814229249011858,NA,NA,NA,NA,NA,NA,NA,NA,-0.7391304347826086,0.12663755458515283,-0.5299383460956184,NA,NA,-0.2281630492323981,NA,-0.21861777150916784,NA,NA,NA,NA,NA,NA,NA
result,,,,,NA,NA,NA,NA,NA,NA,NA,-0.3438914027149321,0.050359712230215826,-0.8141592920353983,NA,-0.6867469879518072,0.050359712230215826,0.05065123010130246,NA,-0.3900589721988206,-0.6745401923256465,NA,NA,NA,NA,NA,NA,NA
arg1-as-cond,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-cond,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-negcond,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-negcond,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-goal,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13089005235602094,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,,,,,NA,0.9219088937093276,0.8067940552016986,NA,-0.7526080476900149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,-0.21315468940316687,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,,,,,NA,0.6124763705103969,-0.3868134441972128,0.6777996070726916,NA,NA,NA,-0.8874098724348308,NA,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,,,,,,,NA,0.12751677852348994,NA,NA,NA,NA,-0.31746031746031744,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,,,,,NA,-0.07565337001375516,-0.7526080476900149,-0.08005822416302766,0.03662321539416512,0.009376172021502687,NA,NA,NA,NA,NA,NA,NA
disjunction,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,,,,,NA,NA,NA,-0.5551700208188758,NA,NA,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,,,,,NA,NA,-0.06317987034391825,NA,NA,NA,NA,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,,,,,NA,-0.2703471826977803,NA,NA,NA,NA,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA
arg1-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
