,synchronous,precedence,succession,reason,result,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,NA,0.0,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA,0.0,NA
succession,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,NA,0.0,NA,NA,NA,NA,NA,0.11821234823043142,NA,NA,NA,NA,0.16016129032258064,NA
result,,,,,NA,NA,NA,NA,NA,NA,0.083005912645432,NA,NA,NA,NA,0.0744530698659139,NA
arg2-as-goal,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,NA,NA,0.11528592375366568,NA,NA,NA,NA,0.0,NA
similarity,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
disjunction,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,NA,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,NA
