,synchronous,precedence,succession,reason,result,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,NA,NA,NA,0.02317387179834666,NA,NA,NA,0.001791044776119403,NA,NA,NA,NA,NA,NA,NA,NA
succession,,,NA,NA,NA,NA,NA,NA,NA,NA,0.44766146993318484,NA,NA,NA,NA,NA,NA
reason,,,,NA,NA,NA,NA,NA,NA,NA,-0.7885690523494895,NA,NA,NA,NA,-0.7238982343945503,NA
result,,,,,NA,NA,NA,NA,NA,NA,-0.8467119861928076,NA,NA,NA,NA,-0.8614121510673235,NA
arg2-as-goal,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,NA,NA,-0.7932621199671323,NA,NA,NA,NA,NA,NA
similarity,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,NA,0.13362445414847163,NA,-0.5167630057803468,0.13409290096406662,-0.09274563820018365,NA
disjunction,,,,,,,,,,,,NA,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,NA,NA,-0.46231721034870643,NA
arg1-as-detail,,,,,,,,,,,,,,,NA,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,NA,NA
arg2-as-manner,,,,,,,,,,,,,,,,,NA
