,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result,,,,,1.0,0.0,0.0,0.0,0.021351575456053068,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.026194029850746266,0.0
disjunction,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0
arg2-as-instance,,,,,,,,,,,,1.0,0.0,0.0,0.0
arg1-as-detail,,,,,,,,,,,,,1.0,0.0,0.0
arg2-as-detail,,,,,,,,,,,,,,1.0,0.0
arg2-as-manner,,,,,,,,,,,,,,,1.0
