,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,8.228818690495881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,5.491853096329675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
succession,,,9.813781191217037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,3.9068905956085187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
result,,,,,3.643856189774725,NA,NA,NA,-2.4222330006830477,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,9.813781191217037,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,9.813781191217037,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,6.35434957257974,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,2.747692000759265,NA,NA,NA,NA,-2.311201688294304,NA
disjunction,,,,,,,,,,9.813781191217037,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,9.813781191217037,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,6.491853096329675,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,8.813781191217037,NA,NA
arg2-as-detail,,,,,,,,,,,,,,3.169925001442312,NA
arg2-as-manner,,,,,,,,,,,,,,,9.813781191217037
