,synchronous,asynchronous,cause,condition,negative-condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,equivalence,manner,exception,substitution
synchronous,NA,NA,0.14222112292851843,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA,NA,NA
asynchronous,,NA,NA,NA,NA,NA,NA,NA,NA,0.3362888352957866,NA,0.10780559646539029,0.14184397163120568,NA,NA,NA,NA
cause,,,NA,NA,NA,NA,0.20430107526881722,0.08838709677419355,NA,0.2086007702182285,NA,0.3215946843853821,0.26178800452659373,NA,NA,NA,NA
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negative-condition,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,,NA,10.047619047619047,NA,0.22171945701357465,NA,NA,0.22957801006581494,NA,NA,NA,NA
contrast,,,,,,,,NA,NA,0.4421550413781456,NA,NA,0.15384615384615385,NA,NA,NA,NA
similarity,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
disjunction,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
instantiation,,,,,,,,,,,,NA,0.5425573514077163,NA,NA,NA,NA
level-of-detail,,,,,,,,,,,,,NA,NA,NA,NA,NA
equivalence,,,,,,,,,,,,,,NA,NA,NA,NA
manner,,,,,,,,,,,,,,,NA,NA,NA
exception,,,,,,,,,,,,,,,,NA,NA
substitution,,,,,,,,,,,,,,,,,NA
