,synchronous,asynchronous,cause,condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,6.006426269159433,-0.6082835749557751,-2.2789759497028155,NA,NA,NA,NA,NA,-0.6119592330991734,NA,NA,NA,NA
asynchronous,,3.199071347101829,-0.33144336959695114,NA,NA,NA,-0.6082835749557751,NA,-0.9598825365194802,NA,-2.950675772402853,-2.168499413341246,NA
cause,,,1.5283789723547887,NA,-0.4716210276452113,-1.7935491225325737,-2.8639384504239715,-1.0565835283663676,-1.0676387168753634,-0.7935491225325738,-1.161936528512596,-1.0615842094247339,NA
condition,,,,9.813781191217037,NA,NA,NA,NA,1.1953956889584305,NA,NA,NA,NA
purpose,,,,,7.813781191217037,NA,NA,NA,NA,NA,NA,-0.3611444912836419,NA
concession,,,,,,5.491853096329675,2.6844981742720706,NA,-1.5415699052077756,NA,-0.6578940231750072,-1.6830725861710043,NA
contrast,,,,,,,4.421463768438277,1.8365012677171204,-0.7374901151830325,2.0995356735509145,NA,-2.168499413341246,NA
similarity,,,,,,,,7.22881869049588,0.19539568895843049,NA,NA,0.05389300799520195,NA
conjunction,,,,,,,,,1.1953956889584307,-0.1265324059289318,-0.3693889298250951,0.0316972618810061,NA
disjunction,,,,,,,,,,7.491853096329675,NA,NA,NA
instantiation,,,,,,,,,,,3.664034071712355,-0.6040010151798052,NA
level-of-detail,,,,,,,,,,,,1.638855508716358,NA
manner,,,,,,,,,,,,,9.813781191217037
