,synchronous,asynchronous,cause,condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,NA,-0.2302439024390244,-0.750974447812906,NA,NA,NA,NA,NA,-0.32357944879210615,NA,NA,NA,NA
asynchronous,,NA,-0.1835409721003685,NA,NA,NA,-0.23623623623623624,NA,-0.496682414140878,NA,-0.8053709119914916,-0.7515527950310559,NA
cause,,,NA,NA,-0.22924901185770752,-0.6607142857142857,-0.8375815056312982,-0.4546304957904584,-0.6548061603823686,-0.3610503282275711,-0.5133232780291603,-0.5850523168908819,NA
condition,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpose,,,,,NA,NA,NA,NA,NA,NA,NA,-0.17391304347826086,NA
concession,,,,,,NA,0.8189655172413793,NA,-0.6370370370370371,NA,-0.24299065420560748,-0.6265743073047859,NA
contrast,,,,,,,NA,0.6124763705103969,-0.3868134441972128,0.6777996070726916,NA,-0.7333333333333333,NA
similarity,,,,,,,,NA,0.12751677852348994,NA,NA,0.0279424216765453,NA
conjunction,,,,,,,,,NA,-0.07565337001375516,-0.22206954867350173,0.02899900003448157,NA
disjunction,,,,,,,,,,NA,NA,NA,NA
instantiation,,,,,,,,,,,NA,-0.2965482276395285,NA
level-of-detail,,,,,,,,,,,,NA,NA
manner,,,,,,,,,,,,,NA
