,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,2.054954713692519e-13,1.0,0.3387749481370957,1.0,1.0,1.0,1.0,0.33018413886041387,1.0,1.0,0.5894357502416366,1.0
asynchronous,,5.271223571106054e-103,chi2,1.0,1.0,1.0,1.0,chi2,1.0,0.16248098488792595,chi2,1.0
cause,,,chi2,1.0,0.07411732152530776,chi2,1.0,chi2,0.5767215903507402,chi2,chi2,1.0
purpose,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
concession,,,,,1.0942825427590497e-23,1.0,1.0,0.0699765215769034,1.0,1.0,0.22378909912372583,1.0
contrast,,,,,,3.872861760838097e-46,1.0,chi2,1.0,1.0,0.013044198088256926,1.0
similarity,,,,,,,0.0011111111111111111,1.0,1.0,1.0,0.19444444444444442,1.0
conjunction,,,,,,,,chi2,1.0,chi2,chi2,1.0
disjunction,,,,,,,,,8.257958814256208e-09,1.0,1.0,1.0
instantiation,,,,,,,,,,1.3384378700242602e-59,chi2,1.0
level-of-detail,,,,,,,,,,,chi2,1.0
manner,,,,,,,,,,,,0.0011111111111111111
