,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,7.491853096329675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,3.747692000759265,-1.265132039598319,NA,NA,-0.7758699552977482,NA,-2.2123099313088166,NA,NA,-3.703519111073064,NA
cause,,,1.9936022288018496,NA,NA,NA,NA,-2.5069680846289346,NA,NA,-2.4576088830304794,NA
purpose,,,,9.813781191217037,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,6.491853096329675,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,5.290219235160024,NA,-2.6697826969080567,NA,NA,NA,NA
similarity,,,,,,,9.813781191217037,NA,NA,NA,2.362570079384708,NA
conjunction,,,,,,,,1.8537792591489561,0.2688167584277998,-1.5612582401298876,-0.07386989662635984,NA
disjunction,,,,,,,,,8.228818690495881,NA,NA,NA
instantiation,,,,,,,,,,4.813781191217037,-1.6374299206152918,NA
level-of-detail,,,,,,,,,,,2.362570079384708,NA
manner,,,,,,,,,,,,9.813781191217037
