,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asynchronous,,1.0,0.024475524475524476,0.0,0.0,0.011235955056179775,0.0,0.01282051282051282,0.0,0.0,0.004149377593360996,0.0
cause,,,1.0,0.0,0.0,0.0,0.0,0.023706896551724137,0.0,0.0,0.020356234096692113,0.0
purpose,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
concession,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,1.0,0.0,0.0036900369003690036,0.0,0.0,0.0,0.0
similarity,,,,,,,1.0,0.0,0.0,0.0,0.005714285714285714,0.0
conjunction,,,,,,,,1.0,0.00398406374501992,0.01079136690647482,0.12169312169312169,0.0
disjunction,,,,,,,,,1.0,0.0,0.0,0.0
instantiation,,,,,,,,,,1.0,0.00975609756097561,0.0
level-of-detail,,,,,,,,,,,1.0,0.0
manner,,,,,,,,,,,,1.0
