,synchronous,asynchronous,cause,concession,contrast,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,8.228818690495881,NA,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,4.22881869049588,NA,NA,NA,NA,NA,NA,NA,NA
cause,,,2.5283789723547887,NA,NA,-3.537710218102984,NA,NA,NA,NA
concession,,,,6.813781191217037,NA,NA,NA,NA,NA,NA
contrast,,,,,6.35434957257974,NA,NA,NA,NA,NA
conjunction,,,,,,2.747692000759265,NA,NA,-2.5980828360824653,NA
disjunction,,,,,,,9.813781191217037,NA,NA,NA
instantiation,,,,,,,,6.22881869049588,NA,NA
level-of-detail,,,,,,,,,2.8830438536541507,NA
manner,,,,,,,,,,9.813781191217037
