,synchronous,precedence,succession,reason,result,arg1-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,0.019969278033794162,0.0,0.0,0.0069767441860465115,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0027137042062415195,0.0
precedence,,,0.0,0.0019047619047619048,0.0637042862760519,0.0,0.0013850415512465374,0.01812366737739872,0.002577319587628866,0.0,0.043774668101901684,0.0,0.0030581039755351682,0.0014903129657228018,0.005982053838484547,0.0016260162601626016
succession,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017278617710583153,0.0,0.002544529262086514,0.0,0.004219409282700422,0.0
reason,,,,,0.014302741358760428,0.0,0.0035149384885764497,0.00375,0.008051529790660225,0.0,0.02338530066815145,0.0,0.017114914425427872,0.007751937984496124,0.05126760563380282,0.0021598272138228943
result,,,,,,0.00047551117451260106,0.007702763932940644,0.027615062761506277,0.00796107916850951,0.002756086357372531,0.10831867303342549,0.0,0.012219959266802444,0.014472455648926238,0.043903886087214475,0.0014191106906338694
arg1-as-goal,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier,,,,,,,,0.050997782705099776,0.017123287671232876,0.0,0.003305785123966942,0.0,0.0,0.0,0.007868852459016393,0.0
arg2-as-denier,,,,,,,,,0.031189083820662766,0.0,0.017986988136241867,0.0,0.00684931506849315,0.004750593824228029,0.007403189066059226,0.0
contrast,,,,,,,,,,0.00392156862745098,0.01017087062652563,0.0,0.0017953321364452424,0.0,0.005685407454200884,0.005291005291005291
similarity,,,,,,,,,,,0.02578427159432746,0.0,0.006535947712418301,0.006711409395973154,0.0020093770931011385,0.0
conjunction,,,,,,,,,,,,0.00043346337234503684,0.022044849866970733,0.0021079258010118043,0.10704727921498662,0.0
disjunction,,,,,,,,,,,,,0.0,0.0,0.0,0.0
arg2-as-instance,,,,,,,,,,,,,,0.0044444444444444444,0.07215265354800239,0.0
arg1-as-detail,,,,,,,,,,,,,,,0.006775067750677507,0.0
arg2-as-detail,,,,,,,,,,,,,,,,0.002102312543798178
arg2-as-subst,,,,,,,,,,,,,,,,
