,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,NA,NA,NA,0.08816898690316412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,,NA,0.1454339913288694,0.328791332091019,NA,0.19694211382871443,0.08298328746525407,NA,0.2809392963368947,NA,0.03255631126280619,NA,0.00804220197026721,NA
succession,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,,0.0725797630276,NA,0.18930227474980874,NA,NA,0.08689746498347152,NA,NA,NA,0.46845378394330633,NA
result,,,,,,0.18821363631230023,0.09892359096641785,0.09593293887892107,0.21945996343426544,0.16479911304851777,NA,0.06723455002342518,3.4701826956221993,0.07157139289309149,NA
arg1-as-denier,,,,,,,NA,NA,NA,0.03628227194492255,NA,NA,NA,0.07233715000481093,NA
arg2-as-denier,,,,,,,,NA,NA,0.11859951644798163,NA,0.07088942041889996,NA,0.05309080606135732,NA
contrast,,,,,,,,,NA,0.17840859888942318,NA,NA,NA,0.037677470616555735,NA
similarity,,,,,,,,,,4.112161529516589,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,NA,0.09897191162077656,0.07697838974947409,0.3020879377976041,NA
disjunction,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,NA,0.5721744943808488,NA
arg1-as-detail,,,,,,,,,,,,,,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,NA
arg2-as-subst,,,,,,,,,,,,,,,
