,synchronous,precedence,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
precedence,,,0.0,0.03793140990745781,NA,NA,NA,NA,0.0663637717860867,0.0,NA,0.0,NA
reason,,,,0.0,NA,NA,NA,NA,0.0,NA,NA,0.0,NA
result,,,,,NA,0.11004521569106684,0.0,NA,0.01569518916457692,0.0,NA,0.0,NA
arg1-as-denier,,,,,,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,NA,NA,0.0,NA,NA,0.0,NA
contrast,,,,,,,,NA,0.0,NA,NA,0.0,NA
similarity,,,,,,,,,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,0.09641198521600955,NA,0.012252917361276495,NA
arg2-as-instance,,,,,,,,,,,NA,0.19298073463513557,NA
arg1-as-detail,,,,,,,,,,,,NA,NA
arg2-as-detail,,,,,,,,,,,,,NA
arg2-as-subst,,,,,,,,,,,,,
