,synchronous,precedence,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,,0.0,0.004606124239504078,0.0,0.006805054151624549,0.0,0.0,0.007110077709110934,0.0,0.0,0.0,0.0
reason,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
result,,,,,0.0,0.010996015936254981,0.0,0.0,0.003188939158619758,0.0,0.08383134130146082,0.0,0.0
arg1-as-denier,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,0.11224105461393596,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,0.0087635312890844,0.0,0.0016153919194796564,0.0
arg2-as-instance,,,,,,,,,,,0.0,0.009734428122393996,0.0
arg1-as-detail,,,,,,,,,,,,0.0,0.0
arg2-as-detail,,,,,,,,,,,,,0.0
arg2-as-subst,,,,,,,,,,,,,
