,synchronous,precedence,succession,reason,result,arg1-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,1.1799570725996726,NA,NA,-0.41820550790497857,NA,NA,NA,NA,NA,0.0648966985923126,NA,NA,NA,-1.7544685188647149,NA
precedence,,,NA,-4.380067526371581,-0.26466946700169897,NA,-3.4851495724291386,-0.9423478671753852,-3.0257179537918413,NA,-0.8073512862746407,NA,-3.558752662469137,-2.6955693520995108,-3.4489293845163855,-0.37364125721214814
succession,,,,NA,NA,NA,NA,NA,NA,NA,-0.08943144779898098,NA,0.504942012848253,NA,1.19972779152216,NA
reason,,,,,-2.014755982901346,NA,-2.065311086886474,-3.0250097221619034,-1.2839513733618142,NA,-1.3409702147949456,NA,-0.916521755590024,-0.27573086655684564,-0.10625875949618044,0.046197228330516725
result,,,,,,1.6291002068733784,-1.2023001891508764,-0.7900300470393483,-1.6604064103216063,-2.107865387292828,-0.7911580227205061,NA,-2.041438025553852,0.45401350031528714,-1.629051977580669,-0.5932922144630692
arg1-as-goal,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,1.8085076871163959,0.6109665805806286,NA,-2.4233321843524194,NA,NA,NA,-1.134172945031278,NA
arg2-as-denier,,,,,,,,,0.7443773496966802,NA,-1.413404468671368,NA,-2.051691764814409,-0.9254740486109889,-2.563356863607928,NA
contrast,,,,,,,,,,-1.1140263719195016,-1.3200443759403977,NA,-3.3695271050678883,NA,-2.0897788256728247,1.4005468009102569
similarity,,,,,,,,,,,1.0804935536433309,NA,-0.6470610805967971,0.2161222297728289,-2.537237802644046,NA
conjunction,,,,,,,,,,,,1.495531052922175,-1.2239167799860018,-2.3118238691354294,-0.48022140083114795,NA
disjunction,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,-1.0393785033755576,0.541162200761006,NA
arg1-as-detail,,,,,,,,,,,,,,,-0.6076271305354439,NA
arg2-as-detail,,,,,,,,,,,,,,,,-0.022664629814287598
arg2-as-subst,,,,,,,,,,,,,,,,
