,synchronous,precedence,succession,reason,result,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-subst
synchronous,,1.3605121391080037,NA,NA,NA,NA,NA,NA,NA,-0.4994574091130224,NA,NA,NA,NA,NA
precedence,,,NA,-2.9652075349417326,-1.3193383095307527,NA,-2.5463784565005145,NA,NA,-1.5261522757784423,NA,NA,NA,NA,NA
succession,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reason,,,,,-3.5121637130831442,NA,-2.891206953497956,NA,NA,-3.240214582441603,NA,-0.8132044414966827,NA,-1.0008314446724542,NA
result,,,,,,-2.3999959728759777,-3.093334634641926,-3.3372602175280153,-2.4303696219194966,-1.9569154364153312,NA,-3.6591883124153775,1.1545928788016593,-3.2769597072602012,-0.6527620432559444
arg1-as-denier,,,,,,,-0.4571111184034273,0.620891393597846,NA,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,0.19058713766569121,NA,-2.8213855040003843,NA,NA,NA,-4.582002366231237,NA
contrast,,,,,,,,,NA,-2.3283454927202674,NA,NA,NA,NA,NA
similarity,,,,,,,,,,1.278984821029343,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,NA,-3.065311086886474,NA,-1.3460474944537266,NA
disjunction,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,NA,-0.7384651078669862,NA
arg1-as-detail,,,,,,,,,,,,,,-1.4715783765375856,NA
arg2-as-detail,,,,,,,,,,,,,,,0.18049832004210783
arg2-as-subst,,,,,,,,,,,,,,,
