,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
synchronous,,1.0692808414435577,-0.8673099883803811,NA,NA,NA,NA,0.0648966985923126,NA,NA,-2.0274870132711307,NA
asynchronous,,,-0.6407382254608279,NA,-1.4559356869984406,-3.136394184947956,NA,-0.7092135025948484,NA,-2.988029668566255,-2.71714689265898,-0.484317488368263
cause,,,,1.1799957263979761,-0.9923198224693305,-1.4720809701817175,-2.334577446431782,-0.765394369496221,NA,-1.095447466126898,-0.574786381088097,-0.30543110077226576
purpose,,,,,NA,NA,NA,NA,NA,NA,NA,NA
concession,,,,,,1.013891103001235,-2.8929994926072835,-1.1579111856817477,NA,-2.619104094141723,-1.478805428044593,NA
contrast,,,,,,,-1.1140263719195016,-1.3200443759403977,NA,-3.4250934741750974,-1.947759820800397,1.4005468009102569
similarity,,,,,,,,1.0804935536433309,NA,-0.7026274497040064,-2.395218797771618,NA
conjunction,,,,,,,,,1.495531052922175,-1.2067268066578964,-0.4935489324781403,NA
disjunction,,,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,,,0.40223855675095554,NA
level-of-detail,,,,,,,,,,,,-0.29568312422070336
substitution,,,,,,,,,,,,
