,synchronous,asynchronous,cause,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
synchronous,,NA,0.05643809270752276,NA,NA,NA,NA,NA,NA,NA,NA
asynchronous,,,0.24397046949921425,0.0957295546098722,0.08040850493889168,NA,0.2810151336655256,NA,0.030834154999014003,0.006047502047502047,NA
cause,,,,0.14779882810720177,0.1130104246304222,0.14043813715552242,0.1478216599071905,NA,0.13139754930084002,0.21955725073128055,NA
concession,,,,,NA,NA,0.12470295310184024,NA,0.1056928015164114,0.07704864846404727,NA
contrast,,,,,,NA,0.17840859888942318,NA,NA,0.029312989533984007,NA
similarity,,,,,,,4.112161529516589,NA,NA,0.10960236674522389,NA
conjunction,,,,,,,,NA,0.09666755712467773,0.2878005665445415,NA
disjunction,,,,,,,,,NA,NA,NA
instantiation,,,,,,,,,,0.51534656117729,NA
level-of-detail,,,,,,,,,,,NA
substitution,,,,,,,,,,,
