,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,substitution
synchronous,,0.0037855091832948327,0.0014858445429116892,fisher,0.01136642664046365,fisher,fisher,0.7872717376114664,fisher,fisher,0.0003607177894840516,fisher
asynchronous,,,1.072924757067527e-17,fisher,4.666902848732876e-08,7.136613742276109e-05,0.002711815297179137,1.0227217456115083e-14,fisher,2.1294798078266443e-09,3.356915015440329e-42,fisher
cause,,,,fisher,3.884159877182404e-30,2.0821920199548085e-14,1.4224554032267565e-10,4.0651270697803347e-106,fisher,2.3993883786751456e-22,5.505841587272568e-45,0.5252760279899426
purpose,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
concession,,,,,,1.153316586194846e-05,0.012713919362106358,4.771613559293517e-26,fisher,3.6354728922214403e-08,4.85587998665944e-23,fisher
contrast,,,,,,,fisher,2.2719665031025316e-09,fisher,0.0018727901900332594,2.6453781071010825e-09,fisher
similarity,,,,,,,,1.0275717886955625e-13,fisher,fisher,1.3334259521083448e-05,fisher
conjunction,,,,,,,,,fisher,5.671042938418615e-18,4.240671796201494e-25,fisher
disjunction,,,,,,,,,,fisher,fisher,fisher
instantiation,,,,,,,,,,,7.813297477586131e-05,fisher
level-of-detail,,,,,,,,,,,,fisher
substitution,,,,,,,,,,,,
