,synchronous,asynchronous,cause,concession,contrast,similarity,conjunction,instantiation,level-of-detail,substitution
synchronous,,1.0,0.5910981914405398,1.0,1.0,1.0,1.0,1.0,1.0,1.0
asynchronous,,,chi2,chi2,0.1747870154265302,1.0,chi2,chi2,chi2,1.0
cause,,,,chi2,chi2,0.21911546495404255,chi2,chi2,chi2,1.0
concession,,,,,1.0,1.0,chi2,0.022635695268783316,chi2,1.0
contrast,,,,,,1.0,chi2,0.6304474238198237,0.013667979265854755,1.0
similarity,,,,,,,0.3518008628739521,1.0,1.0,1.0
conjunction,,,,,,,,chi2,chi2,1.0
instantiation,,,,,,,,,chi2,1.0
level-of-detail,,,,,,,,,,1.0
substitution,,,,,,,,,,
