,synchronous,precedence,succession,reason,result,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08761786771285016,NA
precedence,,,22.026074700493304,0.12147660609529261,NA,NA,NA,NA,NA,NA,NA,0.23788212980426005,NA,NA,0.09468652325795184,NA,0.19050946229206,NA
succession,,,,NA,NA,NA,NA,NA,NA,NA,NA,0.25312899106002557,NA,NA,NA,NA,NA,NA
reason,,,,,0.07827701542648574,NA,NA,NA,NA,0.22151677248412738,NA,0.3114649000961641,NA,NA,NA,NA,NA,NA
result,,,,,,NA,NA,NA,NA,0.15145779492592729,NA,0.18861209964412812,NA,NA,0.03676649622595569,NA,0.20041590129275985,NA
arg1-as-goal,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg2-as-goal,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
arg1-as-denier,,,,,,,,,NA,10.059915611814345,NA,0.20053637277908146,NA,NA,NA,NA,NA,NA
arg2-as-denier,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA
contrast,,,,,,,,,,,NA,0.4547982155825293,NA,NA,NA,NA,0.08829707607987058,NA
similarity,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA
conjunction,,,,,,,,,,,,,NA,0.20053637277908146,NA,NA,NA,NA
disjunction,,,,,,,,,,,,,,NA,NA,NA,NA,NA
arg1-as-instance,,,,,,,,,,,,,,,NA,NA,NA,NA
arg2-as-instance,,,,,,,,,,,,,,,,NA,NA,NA
arg1-as-detail,,,,,,,,,,,,,,,,,NA,NA
arg2-as-detail,,,,,,,,,,,,,,,,,,NA
arg2-as-manner,,,,,,,,,,,,,,,,,,
