,synchronous,precedence,succession,reason,result,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,,0.0,0.0,0.08662508662508661,0.0,0.0,0.0,0.034559643255295425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520080321285141,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0321285140562249,0.0,0.0,0.0,0.0,0.027565960042702453,0.0
result,,,,,,0.0,0.0,0.0,0.0,0.0,0.026050146532074242,0.0,0.0,0.0,0.0,0.015338122933059643,0.0
arg2-as-goal,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,,,0.0,0.023747162563296665,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,,,0.1686746987951807,0.0,0.06157965194109772,0.17068273092369476,0.20173097453103556,0.0
disjunction,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
arg2-as-instance,,,,,,,,,,,,,,,0.0,0.04336615096108767,0.0
arg1-as-detail,,,,,,,,,,,,,,,,0.0,0.0
arg2-as-detail,,,,,,,,,,,,,,,,,0.0
arg2-as-manner,,,,,,,,,,,,,,,,,
