,synchronous,precedence,succession,reason,result,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,arg2-as-manner
synchronous,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precedence,,,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
succession,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
reason,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.012605042016806723,0.0
result,,,,,,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.00749063670411985,0.0
arg2-as-goal,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg1-as-denier,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arg2-as-denier,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast,,,,,,,,,,0.0,0.0036900369003690036,0.0,0.0,0.0,0.0,0.0,0.0
similarity,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conjunction,,,,,,,,,,,,0.00398406374501992,0.0,0.01098901098901099,0.007905138339920948,0.10597826086956522,0.0
disjunction,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
arg1-as-instance,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
arg2-as-instance,,,,,,,,,,,,,,,0.0,0.01092896174863388,0.0
arg1-as-detail,,,,,,,,,,,,,,,,0.0,0.0
arg2-as-detail,,,,,,,,,,,,,,,,,0.0
arg2-as-manner,,,,,,,,,,,,,,,,,
