,synchronous,asynchronous,cause,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,1.0,0.3387749481370957,1.0,1.0,1.0,1.0,0.33018413886041387,1.0,1.0,0.5894357502416366,1.0
asynchronous,,,chi2,1.0,1.0,1.0,1.0,chi2,1.0,0.16248098488792595,chi2,1.0
cause,,,,1.0,0.07411732152530776,chi2,1.0,chi2,0.5767215903507402,chi2,chi2,1.0
purpose,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
concession,,,,,,1.0,1.0,0.0699765215769034,1.0,1.0,0.22378909912372583,1.0
contrast,,,,,,,1.0,chi2,1.0,1.0,0.013044198088256926,1.0
similarity,,,,,,,,1.0,1.0,1.0,0.19444444444444442,1.0
conjunction,,,,,,,,,1.0,chi2,chi2,1.0
disjunction,,,,,,,,,,1.0,1.0,1.0
instantiation,,,,,,,,,,,chi2,1.0
level-of-detail,,,,,,,,,,,,1.0
manner,,,,,,,,,,,,
