,synchronous,asynchronous,cause,condition,purpose,concession,contrast,similarity,conjunction,disjunction,instantiation,level-of-detail,manner
synchronous,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,0.25106814715839443,fisher,fisher,fisher,fisher
asynchronous,,,0.11688791595377981,fisher,fisher,fisher,fisher,fisher,7.247387201134608e-06,fisher,0.007539040734652845,2.0467406433283327e-08,fisher
cause,,,,fisher,fisher,0.019071457024734114,3.035348654212621e-05,fisher,8.254106879211757e-24,fisher,0.00040444037064251516,4.9306861184719965e-15,fisher
condition,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
purpose,,,,,,fisher,fisher,fisher,fisher,fisher,fisher,fisher,fisher
concession,,,,,,,fisher,fisher,0.008947518879262845,fisher,fisher,0.03220975724282915,fisher
contrast,,,,,,,,fisher,0.01934629006151772,fisher,fisher,0.0003860086172577051,fisher
similarity,,,,,,,,,fisher,fisher,fisher,fisher,fisher
conjunction,,,,,,,,,,fisher,0.08079863759404401,0.6865632241949893,fisher
disjunction,,,,,,,,,,,fisher,fisher,fisher
instantiation,,,,,,,,,,,,0.03887781416499998,fisher
level-of-detail,,,,,,,,,,,,,fisher
manner,,,,,,,,,,,,,
