*** discogem_multi_leaves_0.3 ***

 Positive Association 
______________________________


*** discogem_multi_leaves_0.3 ***

 Negative Association 
synchronous          | precedence           | 0.02    | 
synchronous          | succession           | 0.0     | 
synchronous          | reason               | 0.0     | 
synchronous          | result               | 0.007   | 
synchronous          | arg1-as-goal         | 0.0     | 
synchronous          | arg1-as-denier       | 0.0     | 
synchronous          | arg2-as-denier       | 0.0     | 
synchronous          | contrast             | 0.0     | 
synchronous          | similarity           | 0.0     | 
synchronous          | conjunction          | 0.0098  | 
synchronous          | disjunction          | 0.0     | 
synchronous          | arg2-as-instance     | 0.0     | 
synchronous          | arg1-as-detail       | 0.0     | 
synchronous          | arg2-as-detail       | 0.0027  | 
synchronous          | arg2-as-subst        | 0.0     | 
precedence           | succession           | 0.0     | 
precedence           | reason               | 0.0019  | 
precedence           | result               | 0.0637  | 
precedence           | arg1-as-goal         | 0.0     | 
precedence           | arg1-as-denier       | 0.0014  | 
precedence           | arg2-as-denier       | 0.0181  | 
precedence           | contrast             | 0.0026  | 
precedence           | similarity           | 0.0     | 
precedence           | conjunction          | 0.0438  | 
precedence           | disjunction          | 0.0     | 
precedence           | arg2-as-instance     | 0.0031  | 
precedence           | arg1-as-detail       | 0.0015  | 
precedence           | arg2-as-detail       | 0.006   | 
precedence           | arg2-as-subst        | 0.0016  | 
succession           | reason               | 0.0     | 
succession           | result               | 0.0     | 
succession           | arg1-as-goal         | 0.0     | 
succession           | arg1-as-denier       | 0.0     | 
succession           | arg2-as-denier       | 0.0     | 
succession           | contrast             | 0.0     | 
succession           | similarity           | 0.0     | 
succession           | conjunction          | 0.0017  | 
succession           | disjunction          | 0.0     | 
succession           | arg2-as-instance     | 0.0025  | 
succession           | arg1-as-detail       | 0.0     | 
succession           | arg2-as-detail       | 0.0042  | 
succession           | arg2-as-subst        | 0.0     | 
reason               | result               | 0.0143  | 
reason               | arg1-as-goal         | 0.0     | 
reason               | arg1-as-denier       | 0.0035  | 
reason               | arg2-as-denier       | 0.0038  | 
reason               | contrast             | 0.0081  | 
reason               | similarity           | 0.0     | 
reason               | conjunction          | 0.0234  | 
reason               | disjunction          | 0.0     | 
reason               | arg2-as-instance     | 0.0171  | 
reason               | arg1-as-detail       | 0.0078  | 
reason               | arg2-as-detail       | 0.0513  | 
reason               | arg2-as-subst        | 0.0022  | 
result               | arg1-as-goal         | 0.0005  | 
result               | arg1-as-denier       | 0.0077  | 
result               | arg2-as-denier       | 0.0276  | 
result               | contrast             | 0.008   | 
result               | similarity           | 0.0028  | 
result               | conjunction          | 0.1083  | 
result               | disjunction          | 0.0     | 
result               | arg2-as-instance     | 0.0122  | 
result               | arg1-as-detail       | 0.0145  | 
result               | arg2-as-detail       | 0.0439  | 
result               | arg2-as-subst        | 0.0014  | 
arg1-as-goal         | arg1-as-denier       | 0.0     | 
arg1-as-goal         | arg2-as-denier       | 0.0     | 
arg1-as-goal         | contrast             | 0.0     | 
arg1-as-goal         | similarity           | 0.0     | 
arg1-as-goal         | conjunction          | 0.0     | 
arg1-as-goal         | disjunction          | 0.0     | 
arg1-as-goal         | arg2-as-instance     | 0.0     | 
arg1-as-goal         | arg1-as-detail       | 0.0     | 
arg1-as-goal         | arg2-as-detail       | 0.0     | 
arg1-as-goal         | arg2-as-subst        | 0.0     | 
arg1-as-denier       | arg2-as-denier       | 0.051   | 
arg1-as-denier       | contrast             | 0.0171  | 
arg1-as-denier       | similarity           | 0.0     | 
arg1-as-denier       | conjunction          | 0.0033  | 
arg1-as-denier       | disjunction          | 0.0     | 
arg1-as-denier       | arg2-as-instance     | 0.0     | 
arg1-as-denier       | arg1-as-detail       | 0.0     | 
arg1-as-denier       | arg2-as-detail       | 0.0079  | 
arg1-as-denier       | arg2-as-subst        | 0.0     | 
arg2-as-denier       | contrast             | 0.0312  | 
arg2-as-denier       | similarity           | 0.0     | 
arg2-as-denier       | conjunction          | 0.018   | 
arg2-as-denier       | disjunction          | 0.0     | 
arg2-as-denier       | arg2-as-instance     | 0.0068  | 
arg2-as-denier       | arg1-as-detail       | 0.0048  | 
arg2-as-denier       | arg2-as-detail       | 0.0074  | 
arg2-as-denier       | arg2-as-subst        | 0.0     | 
contrast             | similarity           | 0.0039  | 
contrast             | conjunction          | 0.0102  | 
contrast             | disjunction          | 0.0     | 
contrast             | arg2-as-instance     | 0.0018  | 
contrast             | arg1-as-detail       | 0.0     | 
contrast             | arg2-as-detail       | 0.0057  | 
contrast             | arg2-as-subst        | 0.0053  | 
similarity           | conjunction          | 0.0258  | 
similarity           | disjunction          | 0.0     | 
similarity           | arg2-as-instance     | 0.0065  | 
similarity           | arg1-as-detail       | 0.0067  | 
similarity           | arg2-as-detail       | 0.002   | 
similarity           | arg2-as-subst        | 0.0     | 
conjunction          | disjunction          | 0.0004  | 
conjunction          | arg2-as-instance     | 0.022   | 
conjunction          | arg1-as-detail       | 0.0021  | 
conjunction          | arg2-as-detail       | 0.107   | 
conjunction          | arg2-as-subst        | 0.0     | 
disjunction          | arg2-as-instance     | 0.0     | 
disjunction          | arg1-as-detail       | 0.0     | 
disjunction          | arg2-as-detail       | 0.0     | 
disjunction          | arg2-as-subst        | 0.0     | 
arg2-as-instance     | arg1-as-detail       | 0.0044  | 
arg2-as-instance     | arg2-as-detail       | 0.0722  | 
arg2-as-instance     | arg2-as-subst        | 0.0     | 
arg1-as-detail       | arg2-as-detail       | 0.0068  | 
arg1-as-detail       | arg2-as-subst        | 0.0     | 
arg2-as-detail       | arg2-as-subst        | 0.0021  | 
______________________________


*** discogem_multi_leaves_0.4 ***

 Positive Association 
______________________________


*** discogem_multi_leaves_0.4 ***

 Negative Association 
synchronous          | precedence           | 0.0072  | 
synchronous          | succession           | 0.0     | 
synchronous          | reason               | 0.0     | 
synchronous          | result               | 0.0     | 
synchronous          | arg1-as-denier       | 0.0     | 
synchronous          | arg2-as-denier       | 0.0     | 
synchronous          | contrast             | 0.0     | 
synchronous          | similarity           | 0.0     | 
synchronous          | conjunction          | 0.002   | 
synchronous          | disjunction          | 0.0     | 
synchronous          | arg2-as-instance     | 0.0     | 
synchronous          | arg1-as-detail       | 0.0     | 
synchronous          | arg2-as-detail       | 0.0     | 
synchronous          | arg2-as-subst        | 0.0     | 
precedence           | succession           | 0.0     | 
precedence           | reason               | 0.0031  | 
precedence           | result               | 0.0197  | 
precedence           | arg1-as-denier       | 0.0     | 
precedence           | arg2-as-denier       | 0.0034  | 
precedence           | contrast             | 0.0     | 
precedence           | similarity           | 0.0     | 
precedence           | conjunction          | 0.017   | 
precedence           | disjunction          | 0.0     | 
precedence           | arg2-as-instance     | 0.0     | 
precedence           | arg1-as-detail       | 0.0     | 
precedence           | arg2-as-detail       | 0.0     | 
precedence           | arg2-as-subst        | 0.0     | 
succession           | reason               | 0.0     | 
succession           | result               | 0.0     | 
succession           | arg1-as-denier       | 0.0     | 
succession           | arg2-as-denier       | 0.0     | 
succession           | contrast             | 0.0     | 
succession           | similarity           | 0.0     | 
succession           | conjunction          | 0.0     | 
succession           | disjunction          | 0.0     | 
succession           | arg2-as-instance     | 0.0     | 
succession           | arg1-as-detail       | 0.0     | 
succession           | arg2-as-detail       | 0.0     | 
succession           | arg2-as-subst        | 0.0     | 
reason               | result               | 0.0029  | 
reason               | arg1-as-denier       | 0.0     | 
reason               | arg2-as-denier       | 0.0023  | 
reason               | contrast             | 0.0     | 
reason               | similarity           | 0.0     | 
reason               | conjunction          | 0.0035  | 
reason               | disjunction          | 0.0     | 
reason               | arg2-as-instance     | 0.0105  | 
reason               | arg1-as-detail       | 0.0     | 
reason               | arg2-as-detail       | 0.0151  | 
reason               | arg2-as-subst        | 0.0     | 
result               | arg1-as-denier       | 0.0013  | 
result               | arg2-as-denier       | 0.003   | 
result               | contrast             | 0.0013  | 
result               | similarity           | 0.0007  | 
result               | conjunction          | 0.0297  | 
result               | disjunction          | 0.0     | 
result               | arg2-as-instance     | 0.0024  | 
result               | arg1-as-detail       | 0.0075  | 
result               | arg2-as-detail       | 0.0084  | 
result               | arg2-as-subst        | 0.0007  | 
arg1-as-denier       | arg2-as-denier       | 0.0042  | 
arg1-as-denier       | contrast             | 0.0074  | 
arg1-as-denier       | similarity           | 0.0     | 
arg1-as-denier       | conjunction          | 0.0     | 
arg1-as-denier       | disjunction          | 0.0     | 
arg1-as-denier       | arg2-as-instance     | 0.0     | 
arg1-as-denier       | arg1-as-detail       | 0.0     | 
arg1-as-denier       | arg2-as-detail       | 0.0     | 
arg1-as-denier       | arg2-as-subst        | 0.0     | 
arg2-as-denier       | contrast             | 0.0108  | 
arg2-as-denier       | similarity           | 0.0     | 
arg2-as-denier       | conjunction          | 0.0037  | 
arg2-as-denier       | disjunction          | 0.0     | 
arg2-as-denier       | arg2-as-instance     | 0.0     | 
arg2-as-denier       | arg1-as-detail       | 0.0     | 
arg2-as-denier       | arg2-as-detail       | 0.001   | 
arg2-as-denier       | arg2-as-subst        | 0.0     | 
contrast             | similarity           | 0.0     | 
contrast             | conjunction          | 0.0026  | 
contrast             | disjunction          | 0.0     | 
contrast             | arg2-as-instance     | 0.0     | 
contrast             | arg1-as-detail       | 0.0     | 
contrast             | arg2-as-detail       | 0.0     | 
contrast             | arg2-as-subst        | 0.0     | 
similarity           | conjunction          | 0.0089  | 
similarity           | disjunction          | 0.0     | 
similarity           | arg2-as-instance     | 0.0     | 
similarity           | arg1-as-detail       | 0.0     | 
similarity           | arg2-as-detail       | 0.0     | 
similarity           | arg2-as-subst        | 0.0     | 
